1,Stephen Curry,GSW,"$40,231,758"
2,Chris Paul,OKC,"$38,506,482"
3,Russell Westbrook,HOU,"$38,178,000"
4,John Wall,WAS,"$37,800,000"
5,James Harden,HOU,"$37,800,000"
6,LeBron James,LAL,"$37,436,858"
7,Kevin Durant,BRK,"$37,199,000"
8,Blake Griffin,DET,"$34,234,964"
9,Kyle Lowry,TOR,"$33,296,296"
10,Paul George,LAC,"$33,005,556"
11,Klay Thompson,GSW,"$32,742,000"
12,Jimmy Butler,MIA,"$32,742,000"
13,Kemba Walker,BOS,"$32,742,000"
14,Kawhi Leonard,LAC,"$32,742,000"
15,Gordon Hayward,BOS,"$32,700,690"
16,Mike Conley,UTA,"$32,511,623"
17,Kyrie Irving,BRK,"$31,742,000"
18,Tobias Harris,PHI,"$31,034,483"
19,Khris Middleton,MIL,"$30,603,448"
20,Paul Millsap,DEN,"$30,500,000"
21,Damian Lillard,POR,"$29,802,321"
22,Kevin Love,CLE,"$28,900,000"
23,Nikola Vučević,ORL,"$28,000,000"
24,Al Horford,PHI,"$28,000,000"
25,DeMar DeRozan,SAS,"$27,739,975"
26,CJ McCollum,POR,"$27,556,959"
27,Joel Embiid,PHI,"$27,504,630"
28,Andrew Wiggins,GSW,"$27,504,630"
29,Kristaps Porziņģis,DAL,"$27,285,000"
30,D'Angelo Russell,MIN,"$27,285,000"
31,Otto Porter,CHI,"$27,250,576"
32,Devin Booker,PHO,"$27,250,000"
33,Karl-Anthony Towns,MIN,"$27,250,000"
34,Bradley Beal,WAS,"$27,093,019"
35,Anthony Davis,LAL,"$27,093,019"
36,Andre Drummond,CLE,"$27,093,019"
37,Hassan Whiteside,POR,"$27,093,018"
38,Nikola Jokić,DEN,"$26,573,595"
39,Jrue Holiday,NOP,"$26,131,111"
40,LaMarcus Aldridge,SAS,"$26,000,000"
41,Steven Adams,OKC,"$25,842,697"
42,Giannis Antetokounmpo,MIL,"$25,842,697"
43,Marc Gasol,TOR,"$25,595,700"
44,Nicolas Batum,CHO,"$25,565,217"
45,Chandler Parsons,ATL,"$25,102,511"
46,Rudy Gobert,UTA,"$25,008,427"
47,Harrison Barnes,SAC,"$24,147,727"
48,Serge Ibaka,TOR,"$23,271,604"
49,Danilo Gallinari,OKC,"$22,615,559"
50,Victor Oladipo,IND,"$21,000,000"
51,Malcolm Brogdon,IND,"$20,000,000"
52,Terry Rozier,CHO,"$19,894,737"
53,Aaron Gordon,ORL,"$19,863,636"
54,Zach LaVine,CHI,"$19,500,000"
55,Kent Bazemore,SAC,"$19,269,662"
56,Tyler Johnson,PHO,"$19,245,370"
57,Goran Dragić,MIA,"$19,217,900"
58,Jeff Teague,ATL,"$19,000,000"
59,Evan Turner,MIN,"$18,606,557"
60,Draymond Green,GSW,"$18,539,130"
61,Tristan Thompson,CLE,"$18,539,130"
62,Tim Hardaway,DAL,"$18,150,000"
63,Myles Turner,IND,"$18,000,000"
64,Julius Randle,NYK,"$18,000,000"
65,Gary Harris,DEN,"$17,839,286"
66,Allen Crabbe,MIN,"$17,818,456"
67,Derrick Favors,NOP,"$17,650,000"
68,Reggie Jackson,DET,"$17,286,956"
69,Andre Iguodala,MIA,"$17,185,185"
70,Bojan Bogdanović,UTA,"$17,000,000"
71,Evan Fournier,ORL,"$17,000,000"
72,Bismack Biyombo,CHO,"$17,000,000"
73,Clint Capela,ATL,"$16,456,522"
74,Gorgui Dieng,MEM,"$16,229,213"
75,Ricky Rubio,PHO,"$16,190,476"
76,Jonas Valančiūnas,MEM,"$16,000,000"
77,Brandon Knight,DET,"$15,643,750"
78,Eric Bledsoe,MIL,"$15,625,000"
79,Kelly Oubre,PHO,"$15,625,000"
80,Dennis Schröder,OKC,"$15,500,000"
81,Ian Mahinmi,WAS,"$15,450,051"
82,James Johnson,MIN,"$15,349,400"
83,Marvin Williams,CHO,"$15,006,250"
84,Bobby Portis,NYK,"$15,000,000"
85,Marcus Morris,LAC,"$15,000,000"
86,Danny Green,LAL,"$14,634,146"
87,Cody Zeller,CHO,"$14,471,910"
88,Eric Gordon,HOU,"$14,057,730"
89,Mason Plumlee,DEN,"$14,041,096"
90,Rudy Gay,SAS,"$14,000,000"
91,J.J. Redick,NOP,"$13,486,300"
92,Jordan Clarkson,UTA,"$13,437,500"
93,Dewayne Dedmon,ATL,"$13,333,334"
94,Solomon Hill,MIA,"$13,258,781"
95,Justise Winslow,MEM,"$13,000,000"
96,Michael Kidd-Gilchrist,CHO,"$13,000,000"
97,Will Barton,DEN,"$12,960,000"
98,Thaddeus Young,CHI,"$12,900,000"
99,Courtney Lee,DAL,"$12,759,670"
100,Larry Nance,CLE,"$12,727,273"
101,Marcus Smart,BOS,"$12,553,471"
102,Terrence Ross,ORL,"$12,500,000"
103,Miles Plumlee,MEM,"$12,500,000"
104,Patty Mills,SAS,"$12,428,571"
105,Patrick Beverley,LAC,"$12,345,679"
106,Trevor Ariza,POR,"$12,200,000"
107,Dion Waiters,MEM,"$12,100,000"
108,Brook Lopez,MIL,"$12,093,024"
109,Jusuf Nurkić,POR,"$12,000,000"
110,Cory Joseph,SAC,"$12,000,000"
111,Joe Ingles,UTA,"$11,954,546"
112,Kelly Olynyk,MIA,"$11,667,885"
113,Maurice Harkless,NYK,"$11,511,234"
114,Tony Snell,DET,"$11,392,857"
115,Robert Covington,HOU,"$11,301,219"
116,Meyers Leonard,MIA,"$11,286,515"
117,T.J. Warren,IND,"$10,810,000"
118,Andre Roberson,OKC,"$10,740,741"
119,Spencer Dinwiddie,BRK,"$10,600,000"
120,Jeremy Lamb,IND,"$10,500,000"
121,Dwight Powell,DAL,"$10,259,375"
122,Norman Powell,TOR,"$10,116,576"
123,Josh Richardson,PHI,"$10,100,000"
124,Tomáš Satoranský,CHI,"$10,000,000"
125,DeAndre Jordan,BRK,"$9,881,598"
126,Taj Gibson,NYK,"$9,800,000"
127,Zion Williamson,NOP,"$9,757,440"
128,Markelle Fultz,ORL,"$9,745,200"
129,John Henson,DET,"$9,732,396"
130,Matthew Dellavedova,CLE,"$9,607,500"
131,Dante Exum,CLE,"$9,600,000"
132,Deandre Ayton,PHO,"$9,562,920"
133,Delon Wright,DAL,"$9,473,684"
134,Jerami Grant,DEN,"$9,346,153"
135,Al-Farouq Aminu,ORL,"$9,258,000"
136,George Hill,MIL,"$9,133,907"
137,Kyle Anderson,MEM,"$9,073,050"
138,Fred VanVleet,TOR,"$9,000,000"
139,Ja Morant,MEM,"$8,730,240"
140,C.J. Miles,WAS,"$8,730,158"
141,Lonzo Ball,NOP,"$8,719,320"
142,E'Twaun Moore,NOP,"$8,664,928"
143,Marvin Bagley,SAC,"$8,556,120"
144,Bogdan Bogdanović,SAC,"$8,529,386"
145,Tyus Jones,MEM,"$8,408,000"
146,P.J. Tucker,HOU,"$8,349,039"
147,Cristiano Felício,CHI,"$8,156,500"
148,Ben Simmons,PHI,"$8,113,930"
149,Kentavious Caldwell-Pope,LAL,"$8,089,282"
150,Maxi Kleber,DAL,"$8,000,000"
151,Lou Williams,LAC,"$8,000,000"
152,Elfrid Payton,NYK,"$8,000,000"
153,Thomas Bryant,WAS,"$7,936,508"
154,RJ Barrett,NYK,"$7,839,960"
155,Jayson Tatum,BOS,"$7,830,000"
156,Jae Crowder,MIA,"$7,815,533"
157,Wayne Ellington,NYK,"$7,804,878"
158,Luka Dončić,DAL,"$7,683,360"
159,Joe Harris,BRK,"$7,670,000"
160,Seth Curry,DAL,"$7,441,860"
161,Doug McDermott,IND,"$7,333,334"
162,Langston Galloway,DET,"$7,333,333"
163,Derrick Rose,DET,"$7,317,073"
164,Brandon Ingram,NOP,"$7,265,485"
165,D.J. Augustin,ORL,"$7,250,000"
166,Darius Miller,NOP,"$7,250,000"
167,De'Andre Hunter,ATL,"$7,068,360"
168,Josh Jackson,MEM,"$7,059,480"
169,Dāvis Bertāns,WAS,"$7,000,000"
170,Ersan İlyasova,MIL,"$7,000,000"
171,Jaren Jackson,MEM,"$6,927,480"
172,DeMarre Carroll,SAS,"$6,842,307"
173,Nemanja Bjelica,SAC,"$6,825,000"
174,Jaylen Brown,BOS,"$6,534,829"
175,Jabari Parker,SAC,"$6,500,000"
176,Ivica Zubac,LAC,"$6,481,482"
177,Joakim Noah,NYK,"$6,431,666"
178,Darius Garland,CLE,"$6,400,920"
179,De'Aaron Fox,SAC,"$6,392,760"
180,Trae Young,ATL,"$6,273,000"
181,Montrezl Harrell,LAC,"$6,000,000"
182,Ish Smith,WAS,"$5,853,659"
183,Marco Belinelli,SAS,"$5,846,154"
184,Jarrett Culver,MIN,"$5,813,640"
185,Jonathan Isaac,ORL,"$5,806,440"
186,Rodney Hood,POR,"$5,718,000"
187,Mohamed Bamba,ORL,"$5,697,600"
188,Timofey Mozgov,ORL,"$5,573,333"
189,Trey Lyles,SAS,"$5,500,000"
190,Deron Williams,BRK,"$5,474,787"
191,Aron Baynes,PHO,"$5,453,280"
192,Kris Dunn,CHI,"$5,348,007"
193,Josh Smith,DET,"$5,331,729"
194,Coby White,CHI,"$5,307,120"
195,Lauri Markkanen,CHI,"$5,300,400"
196,Ryan Anderson,MIA,"$5,214,583"
197,Wendell Carter,CHI,"$5,201,400"
198,Pau Gasol,SAS,"$5,100,000"
199,Daniel Theis,BOS,"$5,000,000"
200,Luol Deng,LAL,"$4,990,000"
201,Jaxson Hayes,NOP,"$4,862,040"
202,Buddy Hield,SAC,"$4,861,208"
203,Frank Ntilikina,NYK,"$4,855,800"
204,Ed Davis,UTA,"$4,767,000"
205,Richaun Holmes,SAC,"$4,767,000"
206,Frank Kaminsky,PHO,"$4,767,000"
207,Mike Scott,PHI,"$4,767,000"
208,Avery Bradley,LAL,"$4,767,000"
209,Robin Lopez,MIL,"$4,767,000"
210,JaMychal Green,LAC,"$4,767,000"
211,Justin Holiday,IND,"$4,767,000"
212,Garrett Temple,BRK,"$4,767,000"
213,Enes Kanter,BOS,"$4,767,000"
214,Collin Sexton,CLE,"$4,764,960"
215,Rodney McGruder,LAC,"$4,629,630"
216,Rui Hachimura,WAS,"$4,469,160"
217,Kevon Looney,GSW,"$4,464,286"
218,Dennis Smith,NYK,"$4,463,640"
219,Jamal Murray,DEN,"$4,444,746"
220,Kevin Knox,NYK,"$4,380,120"
,,,Salary
Rk,Player,Tm,2019-20
221,Cam Reddish,ATL,"$4,245,720"
222,Zach Collins,POR,"$4,240,200"
223,Mikal Bridges,PHO,"$4,161,000"
224,Alex Len,SAC,"$4,160,000"
225,Cameron Johnson,PHO,"$4,033,440"
226,Malik Monk,CHO,"$4,028,400"
227,Dorian Finney-Smith,DAL,"$4,000,000"
228,JaVale McGee,LAL,"$4,000,000"
229,Patrick McCaw,TOR,"$4,000,000"
230,Reggie Bullock,NYK,"$4,000,000"
231,Shai Gilgeous-Alexander,OKC,"$3,952,920"
232,Nicolò Melli,NOP,"$3,902,439"
233,P.J. Washington,CHO,"$3,831,840"
234,Luke Kennard,DET,"$3,827,160"
235,Miles Bridges,CHO,"$3,755,400"
236,Jakob Pöltl,SAS,"$3,754,886"
237,Tyler Herro,MIA,"$3,640,200"
238,Donovan Mitchell,UTA,"$3,635,760"
239,Stanley Johnson,TOR,"$3,623,000"
240,Jake Layman,MIN,"$3,581,986"
,,,Salary
Rk,Player,Tm,2019-20
241,Thon Maker,DET,"$3,569,643"
242,Jerome Robinson,WAS,"$3,567,720"
243,Allonzo Trier,NYK,"$3,551,100"
244,Danuel House,HOU,"$3,540,000"
245,Domantas Sabonis,IND,"$3,529,555"
246,Mirza Teletović,MIL,"$3,500,000"
247,Boban Marjanović,DAL,"$3,500,000"
248,T.J. McConnell,IND,"$3,500,000"
249,DeMarcus Cousins,LAL,"$3,500,000"
250,Taurean Waller-Prince,BRK,"$3,481,986"
251,Dario Šarić,PHO,"$3,481,986"
252,Romeo Langford,BOS,"$3,458,400"
253,Bam Adebayo,MIA,"$3,454,080"
254,Kyle Korver,PHO,"$3,440,000"
255,Michael Porter,DEN,"$3,389,400"
256,Denzel Valentine,CHI,"$3,377,569"
257,Juan Hernangómez,MIN,"$3,321,030"
258,Sekou Doumbouya,DET,"$3,285,120"
259,Justin Jackson,DAL,"$3,280,920"
260,Troy Brown,WAS,"$3,219,480"
,,,Salary
Rk,Player,Tm,2019-20
261,Jon Leuer,MIL,"$3,169,348"
262,Yogi Ferrell,SAC,"$3,150,000"
263,Guerschon Yabusele,BOS,"$3,117,240"
264,Zhaire Smith,PHI,"$3,058,800"
265,Dwight Howard,MEM,"$3,039,097"
266,Khem Birch,ORL,"$3,000,000"
267,Ryan Arcidiacono,CHI,"$3,000,000"
268,Quinn Cook,LAL,"$3,000,000"
269,Ömer Aşık,CHI,"$3,000,000"
270,Nickeil Alexander-Walker,NOP,"$2,964,840"
271,D.J. Wilson,MIL,"$2,961,120"
272,Cedi Osman,CLE,"$2,907,143"
273,Donte DiVincenzo,MIL,"$2,905,800"
274,Bryn Forbes,SAS,"$2,875,000"
275,Andrew Nicholson,POR,"$2,844,429"
276,Goga Bitadze,IND,"$2,816,760"
277,T.J. Leaf,IND,"$2,813,280"
278,Lonnie Walker,SAS,"$2,760,480"
279,Alex Caruso,LAL,"$2,750,000"
280,Malik Beasley,MIN,"$2,731,714"
,,,Salary
Rk,Player,Tm,2019-20
281,Luka Šamanić,SAS,"$2,689,920"
282,John Collins,ATL,"$2,686,560"
