Player,Tm,Salary
Mitch Marner,TOR,"$16,000,000"
John Tavares,TOR,"$15,900,000"
Auston Matthews,TOR,"$15,900,000"
Carey Price,MTL,"$15,000,000"
Connor McDavid,EDM,"$15,000,000"
Artemi Panarin,NYR,"$14,000,000"
Tyler Seguin,DAL,"$13,500,000"
Jamie Benn,DAL,"$13,000,000"
Mark Stone,VEG,"$12,000,000"
John Carlson,WSH,"$12,000,000"
Jacob Trouba,NYR,"$12,000,000"
Sebastian Aho,CAR,"$12,000,000"
Drew Doughty,LAK,"$12,000,000"
Nikita Kucherov,TBL,"$12,000,000"
Sergei Bobrovsky,FLA,"$11,500,000"
Anze Kopitar,LAK,"$11,000,000"
Max Pacioretty,VEG,"$10,500,000"
P.K. Subban,NJD,"$10,000,000"
Alex Ovechkin,WSH,"$10,000,000"
Matt Duchene,NSH,"$10,000,000"
Jeff Skinner,BUF,"$10,000,000"
Jack Eichel,BUF,"$10,000,000"
Brent Burns,SJS,"$10,000,000"
Blake Wheeler,WPG,"$10,000,000"
Logan Couture,SJS,"$10,000,000"
Jonathan Toews,CHI,"$9,800,000"
Patrick Kane,CHI,"$9,800,000"
Steven Stamkos,TBL,"$9,500,000"
Evgeni Malkin,PIT,"$9,500,000"
Jakub Voracek,PHI,"$9,250,000"
Aaron Ekblad,FLA,"$9,000,000"
William Nylander,TOR,"$9,000,000"
Ryan Suter,MIN,"$9,000,000"
Zach Parise,MIN,"$9,000,000"
Leon Draisaitl,EDM,"$9,000,000"
Sidney Crosby,PIT,"$9,000,000"
Anders Lee,NYI,"$9,000,000"
Kevin Hayes,PHI,"$9,000,000"
Nate Schmidt,VEG,"$8,800,000"
Marc-Andre Fleury,VEG,"$8,500,000"
Evgeny Kuznetsov,WSH,"$8,400,000"
Ryan McDonagh,TBL,"$8,400,000"
Ryan Getzlaf,ANA,"$8,275,000"
Claude Giroux,PHI,"$8,000,000"
Nicklas Backstrom,WSH,"$8,000,000"
Victor Hedman,TBL,"$8,000,000"
Brock Nelson,NYI,"$8,000,000"
James van Riemsdyk,PHI,"$8,000,000"
Ryan Johansen,NSH,"$8,000,000"
Evander Kane,SJS,"$8,000,000"
Joe Pavelski,DAL,"$8,000,000"
Oliver Ekman-Larsson,ARI,"$8,000,000"
Ryan Ellis,NSH,"$7,700,000"
Bobby Ryan,OTT,"$7,500,000"
Alex Pietrangelo,STL,"$7,500,000"
Cam Fowler,ANA,"$7,500,000"
Kyle Connor,WPG,"$7,500,000"
Brad Marchand,BOS,"$7,500,000"
"Dumba, Matt",MIN,"$7,400,000"
Kris Letang,PIT,"$7,250,000"
Jordan Eberle,NYI,"$7,250,000"
Marc-Edouard Vlasic,SJS,"$7,250,000"
Tyler Myers,VAN,"$7,000,000"
Dylan Larkin,DET,"$7,000,000"
Alexander Edler,VAN,"$7,000,000"
David Krejci,BOS,"$7,000,000"
Henrik Lundqvist,NYR,"$7,000,000"
Jonathan Quick,LAK,"$7,000,000"
Esa Lindell,DAL,"$7,000,000"
Aleksander Barkov,FLA,"$6,900,000"
David Pastrnak,BOS,"$6,800,000"
Johnny Gaudreau,CGY,"$6,750,000"
Mark Giordano,CGY,"$6,750,000"
Nathan MacKinnon,COL,"$6,750,000"
Mark Scheifele,WPG,"$6,750,000"
Martin Jones,SJS,"$6,750,000"
Brandon Saad,CHI,"$6,750,000"
Ivan Provorov,PHI,"$6,750,000"
Sean Monahan,CGY,"$6,750,000"
Alexander Radulov,DAL,"$6,600,000"
Mikael Granlund,NSH,"$6,500,000"
Nikolaj Ehlers,WPG,"$6,500,000"
