year,team,odds,wins_over_under,actual_record,result
1984-85,Boston Celtics,+200,,,
1984-85,Los Angeles Lakers,+200,,,
1984-85,Philadelphia 76ers,+250,,,
1984-85,New York Knicks,+500,,,
1984-85,Detroit Pistons,+600,,,
1984-85,Portland Trail Blazers,+800,,,
1984-85,Milwaukee Bucks,+800,,,
1984-85,Seattle SuperSonics,+1000,,,
1984-85,New Jersey Nets,+1000,,,
1984-85,Utah Jazz,+1200,,,
1984-85,Houston Rockets,+1200,,,
1984-85,Dallas Mavericks,+1500,,,
1989-90,Detroit Pistons,+300,,,
1984-85,Phoenix Suns,+1500,,,
1984-85,Washington Bullets,+2000,,,
1984-85,Denver Nuggets,+2000,,,
1984-85,San Antonio Spurs,+2500,,,
1984-85,Atlanta Hawks,+2500,,,
1984-85,Los Angeles Clippers,+3500,,,
1985-86,Los Angeles Lakers,+160,,,
1989-90,Phoenix Suns,+500,,,
1989-90,Los Angeles Lakers,+500,,,
1989-90,Cleveland Cavaliers,+600,,,
1989-90,Boston Celtics,+800,,,
1989-90,Chicago Bulls,+800,,,
1989-90,New York Knicks,+800,,,
1989-90,Utah Jazz,+800,,,
1989-90,Atlanta Hawks,+1500,,,
1987-88,Los Angeles Lakers,+120,,,
1992-93,Chicago Bulls,+120,,,
1990-91,Detroit Pistons,+350,,,
1984-85,Kansas City Kings,+3500,,,
1984-85,Golden State Warriors,+5000,,,
1984-85,Chicago Bulls,+5000,,,
1984-85,Indiana Pacers,+7500,,,
1984-85,Cleveland Cavaliers,+7500,,,
1985-86,Boston Celtics,+250,,,
1985-86,Philadelphia 76ers,+350,,,
1985-86,Milwaukee Bucks,+400,,,
1985-86,Houston Rockets,+700,,,
1985-86,Detroit Pistons,+800,,,
1985-86,Portland Trail Blazers,+1000,,,
1985-86,Dallas Mavericks,+1000,,,
1985-86,Denver Nuggets,+1500,,,
1985-86,New York Knicks,+1500,,,
1991-92,Chicago Bulls,+250,,,
1989-90,Seattle SuperSonics,+1500,,,
1989-90,Milwaukee Bucks,+2000,,,
1989-90,Houston Rockets,+2200,,,
1989-90,Golden State Warriors,+2200,,,
1989-90,Philadelphia 76ers,+2500,,,
1989-90,San Antonio Spurs,+3500,,,
1989-90,Portland Trail Blazers,+3500,,,
1989-90,Denver Nuggets,+3500,,,
1989-90,Dallas Mavericks,+3500,,,
1989-90,Washington Bullets,+5500,,,
1989-90,Sacramento Kings,+8500,,,
1989-90,Indiana Pacers,+8500,,,
1989-90,New Jersey Nets,+12500,,,
1989-90,Los Angeles Clippers,+12500,,,
1989-90,Charlotte Hornets,+25000,,,
1989-90,Miami Heat,+30000,,,
1989-90,Orlando Magic,+500000,,,
1989-90,Minnesota Timberwolves,+500000,,,
1987-88,Boston Celtics,+350,,,
1987-88,Atlanta Hawks,+500,,,
1987-88,Detroit Pistons,+600,,,
1987-88,Dallas Mavericks,+700,,,
1987-88,Houston Rockets,+700,,,
1987-88,Milwaukee Bucks,+1200,,,
1987-88,Portland Trail Blazers,+1800,,,
1987-88,Philadelphia 76ers,+2000,,,
1987-88,Seattle SuperSonics,+2500,,,
1987-88,Utah Jazz,+3000,,,
1986-87,Boston Celtics,+160,,,
1992-93,Portland Trail Blazers,+350,,,
1992-93,Cleveland Cavaliers,+500,,,
1992-93,New York Knicks,+500,,,
1992-93,Golden State Warriors,+800,,,
1992-93,Utah Jazz,+1000,,,
1992-93,San Antonio Spurs,+1000,,,
1992-93,Phoenix Suns,+1000,,,
1992-93,Boston Celtics,+2000,,,
1992-93,Seattle SuperSonics,+2500,,,
1992-93,Houston Rockets,+3000,,,
1992-93,Los Angeles Clippers,+3000,,,
1992-93,Detroit Pistons,+3500,,,
1992-93,Miami Heat,+4000,,,
1992-93,New Jersey Nets,+5000,,,
1992-93,Philadelphia 76ers,+5000,,,
1992-93,Los Angeles Lakers,+5000,,,
1992-93,Indiana Pacers,+6000,,,
1992-93,Charlotte Hornets,+6000,,,
1992-93,Atlanta Hawks,+7500,,,
1992-93,Orlando Magic,+10000,,,
1990-91,Los Angeles Lakers,+450,,,
1990-91,San Antonio Spurs,+600,,,
1990-91,Chicago Bulls,+700,,,
1990-91,Phoenix Suns,+800,,,
1990-91,Portland Trail Blazers,+800,,,
1990-91,Cleveland Cavaliers,+1000,,,
1988-89,Los Angeles Lakers,+350,,,
1993-94,New York Knicks,+200,,,
1985-86,New Jersey Nets,+1500,,,
1985-86,Washington Bullets,+2000,,,
1985-86,Phoenix Suns,+3000,,,
1985-86,Cleveland Cavaliers,+3000,,,
1985-86,San Antonio Spurs,+3500,,,
1985-86,Los Angeles Clippers,+4000,,,
1985-86,Seattle SuperSonics,+4000,,,
1985-86,Chicago Bulls,+4000,,,
